,Artist,Title,emotion
578,Taylor Swift,Umbrella (Live from SoHo),joy
579,Taylor Swift,One Way Ticket,joy
580,Nicki Minaj,Super Bass (Edited),joy
581,Lady Gaga,The Sound of Music Medley,joy
582,Eminem,I’m Shady (Snippet),joy
583,Taylor Swift,Begin Again,joy
584,Eminem,We Made You,joy
585,Lady Gaga,Applause - Come To Mama - Edge Of Glory - Born This Way (ACT IV),joy
586,Eminem,Rap City 2013 Acapella,joy
587,Lady Gaga,Highway Unicorn (Road to Love),joy
588,Eminem,Baruch College Session,joy
589,Taylor Swift,Stay Stay Stay,joy
590,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco) (Live From The Billboard Music Awards),joy
591,Justin Bieber,What Do You Mean? (Capital Kings Remix),joy
592,Taylor Swift,Sparks Fly (Live/2011),joy
593,Nicki Minaj,Peppermint,joy
594,Selena Gomez,Magic,joy
595,Taylor Swift,Lucky You,joy
596,Taylor Swift,The Sweet Escape (Live/2011),joy
597,Taylor Swift,Fearless,joy
598,Taylor Swift,I Wished On A Plane,joy
599,Eminem,It’s the real slim shady,joy
600,Lady Gaga,Christmas Tree (Demo),joy
601,Taylor Swift,ME!,joy
602,Taylor Swift,Til Brad Pitt Comes Along,joy
603,Lady Gaga,Super Lover,joy
604,Lady Gaga,Boys Boys Boys,joy
605,Taylor Swift,Paper Rings,joy
606,Justin Bieber,It’s Working,joy
607,Justin Bieber,Peaches*,joy
608,Taylor Swift,You Need To Calm Down (Clean Bandit Remix),joy
609,Taylor Swift,Santa Baby,joy
610,Billie Eilish,​bitches broken hearts,joy
611,Taylor Swift,Permanent Marker,joy
612,Lady Gaga,LoveGame - Robots To Mars Remix,joy
613,Lady Gaga,New York Girls,joy
614,Selena Gomez,Everything Is Not As It Seems,joy
615,Taylor Swift,long story short,joy
616,Lady Gaga,Again Again,joy
617,Selena Gomez,Stars Dance,joy
618,Lady Gaga,Hey Girl,joy
619,Eminem,Eminem Freestyle On The Farmclub,joy
620,Post Malone,Congratulations (Remix),joy
621,Eminem,So Many Styles,joy
622,Maroon 5,What Lovers Do,joy
623,Eminem,Food Stamp (Phone Tap Freestyle),joy
624,Lady Gaga,Sophie Produced Song,joy
625,Taylor Swift,Welcome to New York,joy
626,Selena Gomez,Save the Day,joy
627,Lady Gaga,Putash,joy
628,Taylor Swift,How You Get the Girl,joy
629,Taylor Swift,The Best Day,joy
630,Taylor Swift,Playlist by ME!,joy
631,Nicki Minaj,Pound the Alarm (Liam Keegan mix),joy
